SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,09-05-2022 05:00,1.5
2,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,14-05-2022 05:00,0.5
3,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,22-08-2022 05:00,0.5
4,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,06-09-2022 14:00,3
5,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,06-09-2022 15:00,1
6,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,02-10-2022 06:00,2
7,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,02-10-2022 21:00,1
8,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,26-11-2022 10:00,0.5
9,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,15-03-2023 13:00,9.5
10,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,15-03-2023 13:00,9.5
11,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,15-03-2023 14:00,0.5
12,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,15-03-2023 14:00,0.5
13,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,19-03-2023 09:00,3
14,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,19-03-2023 10:00,0.5
15,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,19-03-2023 20:00,1
16,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,19-03-2023 21:00,1
17,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,20-03-2023 00:00,0.5
18,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,20-03-2023 13:00,0.5
19,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,20-03-2023 13:00,0.5
20,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,20-03-2023 14:00,2
21,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,20-03-2023 14:00,2
22,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,21-03-2023 06:00,2
23,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,21-03-2023 06:00,2
24,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,21-03-2023 17:00,4
25,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,21-03-2023 17:00,4
26,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,21-03-2023 18:00,4.5
27,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,21-03-2023 18:00,4.5
28,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,21-03-2023 19:00,0.5
29,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,21-03-2023 19:00,0.5
30,Amarpur -RainWL,Tripura,16,Tripura,654,Gomati,-,-,-,-,-,-,-,-,-,23.52836000,91.65289000,21-03-2023 20:00,0.5
